reviewerID,asin,reviewerName,reviewText,unixReviewTime,reviewTime,day_diff,helpful_yes,total_vote
RSDYCIOYIT,B06C16KH51,Lucas Fonseca,Excelente custo-benefício. Recomendo!,1535932800,"09 03, 2018",2577,3,5
RV86XB0S1J,B04WLPKIX4,Gabriela Santana,Atendeu às necessidades do meu escritório.,1528761600,"06 12, 2018",2660,0,1
RWX1T62KVT,B0HMBHII8Z,Mateus Teixeira,Aprovado! Uso diariamente e continua ótimo.,1711756800,"03 30, 2024",542,0,0
R1GRUW02BY,B07KL9U123,Bianca Duarte,"Não gostei da qualidade, esperava mais pelo preço.",1599523200,"09 08, 2020",1841,1,4
RVXOPS4ETW,B0Z5B8UJ92,Igor Santana,"A embalagem estava danificada, porém o produto funcionou.",1615075200,"03 07, 2021",1661,0,0
RHOYOBEB7G,B0ITTSCEYK,Carla Mota,"Design bonito, material resistente.",1620777600,"05 12, 2021",1595,2,7
R6CFT7TQ25,B0QTI9RVFB,Eduardo Pires,Aprovado! Uso diariamente e continua ótimo.,1728432000,"10 09, 2024",349,3,12
RBUZLW8GUL,B06Y0AN560,Patrícia Faria,"Fácil de usar e configurar, muito satisfeito.",1660694400,"08 17, 2022",1133,2,4
RH5GF7F8PZ,B0XK2SY8LI,Leandro Reis,"Não gostei da qualidade, esperava mais pelo preço.",1567209600,"08 31, 2019",2215,0,4
RDDBON51D2,B0PESWA4QT,Suelen Braga,Fácil de limpar e manter.,1519257600,"02 22, 2018",2770,0,4
RSASB11H49,B0GMDR398H,Marcelo Freitas,Excelente custo-benefício. Recomendo!,1585008000,"03 24, 2020",2009,0,1
REXTKYE0HW,B0T6LO34OJ,Adriana Coelho,"Design bonito, material resistente.",1654300800,"06 04, 2022",1207,7,8
RSRIT1CJ3I,B0B6IEER9Q,Fábio Nogueira,"O manual é confuso, tive que procurar tutoriais.",1701561600,"12 03, 2023",660,0,0
RMCPCGENP6,B0C6D9T0Z1,Natália Silveira,"Produto veio com defeito, precisei trocar.",1590364800,"05 25, 2020",1947,1,5
